sweep,model,hardware,N,method,sweep_axis,sweep_value,n_seeds,F_mean,F_std,F_sem,E_inf_uJ_mean,E_inf_uJ_std
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,L,3,0.8176,0.0251,0.0145,0.8957,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,M,3,0.8477,0.0176,0.0102,0.6201,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,S,3,0.8346,0.028,0.0162,0.4823,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,XL,3,0.8363,0.018,0.0104,1.4472,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,XS,3,0.8637,0.0102,0.0059,0.4134,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,XXL,3,0.8332,0.0191,0.011,2.5506,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,D1,3,0.7519,0.0009,0.0005,0.2241,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,D3,3,0.754,0.0044,0.0025,0.2328,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,D4,3,0.7501,0.0171,0.0099,0.2372,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,L,3,0.757,0.0076,0.0044,0.2285,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,M,3,0.7579,0.0012,0.0007,0.145,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,S,3,0.7599,0.0023,0.0013,0.1039,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,XL,3,0.7657,0.0093,0.0054,0.4009,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,XS,3,0.7674,0.0085,0.0049,0.0835,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,XXL,3,0.7805,0.0065,0.0037,0.7672,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,D1,3,0.8191,0.0119,0.0069,0.4391,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,D3,3,0.8118,0.0176,0.0102,0.4479,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,D4,3,0.8169,0.0311,0.0179,0.4522,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,L,3,0.8035,0.036,0.0208,0.4435,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,M,3,0.7978,0.0176,0.0101,0.2525,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,S,3,0.813,0.0065,0.0037,0.1576,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,XL,3,0.8046,0.009,0.0052,0.8309,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,XS,3,0.8085,0.0159,0.0092,0.1104,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,XXL,3,0.8218,0.0294,0.017,1.6273,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,8,3,0.485,0.0231,0.0133,6.0357,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,16,3,0.6299,0.0492,0.0284,6.0358,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,32,3,0.7084,0.0037,0.0021,6.036,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,64,3,0.7478,0.0351,0.0203,6.0365,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,128,3,0.7786,0.01,0.0057,6.0375,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,256,3,0.8059,0.0075,0.0043,6.0394,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,512,3,0.8204,0.0059,0.0034,6.0433,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,720,3,0.8193,0.0051,0.003,6.0464,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M1,M,1024,3,0.8185,0.0069,0.004,6.051,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,2,3,0.8139,0.0333,0.0192,6.0433,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,4,3,0.8304,0.0045,0.0026,6.051,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,8,3,0.8241,0.0179,0.0104,6.0665,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,12,3,0.8231,0.0073,0.0042,6.082,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,16,3,0.823,0.0003,0.0002,6.0974,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,24,3,0.8166,0.0091,0.0052,6.1284,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,32,3,0.8146,0.0039,0.0022,6.1593,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,40,3,0.8114,0.0062,0.0036,6.1903,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,48,3,0.8175,0.0004,0.0002,6.2212,0.0
m,SCNN-Crossbar-4b,Crossbar-4b,8,M2,M,64,3,0.8151,0.0035,0.002,6.2831,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,8,3,0.5123,0.027,0.0156,22.7637,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,16,3,0.7253,0.0054,0.0031,22.7639,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,32,3,0.7698,0.011,0.0064,22.7642,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,64,3,0.7927,0.0145,0.0084,22.7649,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,128,3,0.8179,0.0027,0.0015,22.7663,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,256,3,0.8166,0.0055,0.0032,22.769,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,512,3,0.8186,0.0043,0.0025,22.7744,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,720,3,0.8153,0.0014,0.0008,22.7788,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M1,M,1024,3,0.8179,0.0044,0.0026,22.7852,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,2,3,0.7292,0.0279,0.0161,22.7744,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,4,3,0.7173,0.0231,0.0134,22.7852,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,8,3,0.7095,0.0134,0.0077,22.8068,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,12,3,0.6783,0.0157,0.009,22.8284,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,16,3,0.6482,0.0206,0.0119,22.85,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,24,3,0.6766,0.02,0.0116,22.8932,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,32,3,0.6603,0.0268,0.0155,22.9365,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,40,3,0.6384,0.0175,0.0101,22.9797,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,48,3,0.6733,0.0082,0.0047,23.0229,0.0
m,SCNN-Crossbar-8b,Crossbar-8b,8,M2,M,64,3,0.6607,0.0273,0.0158,23.1094,0.0
m,SCNN-Loihi,Loihi,8,M1,M,8,3,0.577,0.0151,0.0087,4.8558,0.0
m,SCNN-Loihi,Loihi,8,M1,M,16,3,0.7612,0.0023,0.0013,4.8601,0.0
m,SCNN-Loihi,Loihi,8,M1,M,32,3,0.7806,0.0053,0.0031,4.8686,0.0
m,SCNN-Loihi,Loihi,8,M1,M,64,3,0.7914,0.0082,0.0047,4.8856,0.0
m,SCNN-Loihi,Loihi,8,M1,M,128,3,0.8173,0.001,0.0006,4.9195,0.0
m,SCNN-Loihi,Loihi,8,M1,M,256,3,0.8273,0.0036,0.0021,4.9875,0.0
m,SCNN-Loihi,Loihi,8,M1,M,512,3,0.8293,0.0007,0.0004,5.1234,0.0
m,SCNN-Loihi,Loihi,8,M1,M,720,3,0.831,0.0025,0.0015,5.2338,0.0
m,SCNN-Loihi,Loihi,8,M1,M,1024,3,0.8337,0.0019,0.0011,5.3952,0.0
m,SCNN-Loihi,Loihi,8,M2,M,2,3,0.7734,0.019,0.011,5.1234,0.0
m,SCNN-Loihi,Loihi,8,M2,M,4,3,0.8113,0.0037,0.0021,5.3952,0.0
m,SCNN-Loihi,Loihi,8,M2,M,8,3,0.8104,0.0021,0.0012,5.9388,0.0
m,SCNN-Loihi,Loihi,8,M2,M,12,3,0.8092,0.0032,0.0019,6.4823,0.0
m,SCNN-Loihi,Loihi,8,M2,M,16,3,0.8072,0.0017,0.001,7.0259,0.0
m,SCNN-Loihi,Loihi,8,M2,M,24,3,0.7984,0.002,0.0012,8.1131,0.0
m,SCNN-Loihi,Loihi,8,M2,M,32,3,0.7873,0.0025,0.0014,9.2002,0.0
m,SCNN-Loihi,Loihi,8,M2,M,40,3,0.7747,0.0064,0.0037,10.2874,0.0
m,SCNN-Loihi,Loihi,8,M2,M,48,3,0.7655,0.004,0.0023,11.3746,0.0
m,SCNN-Loihi,Loihi,8,M2,M,64,3,0.7434,0.0047,0.0027,13.5489,0.0
p_scgan,CGAN,GPU,5,M1,p,0.0,3,1.0,0.0,0.0,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,0.1,3,0.4676,0.1735,0.1002,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,0.25,3,0.4255,0.0317,0.0183,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,0.4,3,0.5168,0.1489,0.0859,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,0.5,3,0.5768,0.0939,0.0542,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,0.6,3,0.6461,0.0218,0.0126,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,0.75,3,0.802,0.04,0.0231,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,0.9,3,0.9273,0.006,0.0035,1384.2039,0.0
p_scgan,CGAN,GPU,5,M1,p,1.0,3,0.9998,0.0,0.0,1384.2039,0.0
p_scgan,CGAN,GPU,5,M2,p,0.0,3,0.7275,0.0141,0.0081,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,0.1,3,0.7215,0.011,0.0063,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,0.25,3,0.7291,0.0024,0.0014,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,0.4,3,0.7059,0.0115,0.0066,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,0.5,3,0.7793,0.0209,0.012,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,0.6,3,0.7771,0.0194,0.0112,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,0.75,3,0.8679,0.006,0.0034,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,0.9,3,0.9493,0.0051,0.003,1376.2404,0.0
p_scgan,CGAN,GPU,5,M2,p,1.0,3,0.9994,0.0002,0.0001,1376.2404,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.0,3,0.4376,0.0724,0.0418,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.1,3,0.4554,0.0766,0.0442,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.25,3,0.385,0.0243,0.014,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.4,3,0.478,0.0456,0.0263,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.5,3,0.5749,0.02,0.0116,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.6,3,0.7089,0.049,0.0283,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.75,3,0.838,0.0275,0.0159,4.7391,0.0
