state_type,architecture,hardware,M,n_seeds,F_k1_mean,F_k1_std,F_k10_mean,F_k10_std,F_train_mean,F_train_std,E_inf_uJ
haar_pure,SCGAN,Crossbar-8b,24,3,0.3989,0.0033,0.3989,0.0028,0.3929,0.0043,11.4038
haar_pure,SCGAN,GPU,24,3,0.6016,0.0088,0.6016,0.0088,0.6016,0.0088,365.4318
haar_pure,SCGAN,Loihi,24,3,0.3987,0.0026,0.3988,0.0019,0.389,0.0044,3.712
haar_pure,SCGAN,PdNeuRAM,24,3,0.3989,0.0033,0.3989,0.0028,0.3929,0.0043,7.3741
haar_pure,SCGAN,Crossbar-4b,48,3,0.5217,0.0107,0.5216,0.0103,0.5138,0.0074,3.0405
haar_pure,SCGAN,Crossbar-8b,48,3,0.5853,0.0031,0.5851,0.0029,0.5837,0.0063,11.4043
haar_pure,SCGAN,GPU,48,3,0.8556,0.0052,0.8556,0.0052,0.8556,0.0052,365.8473
haar_pure,SCGAN,Loihi,48,3,0.5878,0.0024,0.5863,0.0021,0.5883,0.0025,3.7125
haar_pure,SCGAN,PdNeuRAM,48,3,0.5853,0.0031,0.5851,0.0029,0.5837,0.0063,7.3746
haar_pure,SCGAN,Crossbar-4b,63,3,0.6466,0.023,0.6468,0.0238,0.6428,0.0245,3.0406
haar_pure,SCGAN,Crossbar-8b,63,3,0.7217,0.0031,0.721,0.0032,0.7177,0.0039,11.4046
haar_pure,SCGAN,GPU,63,3,0.9909,0.0003,0.9909,0.0003,0.9909,0.0003,366.107
haar_pure,SCGAN,Loihi,63,3,0.7179,0.0023,0.7174,0.0022,0.7159,0.0043,3.7128
haar_pure,SCGAN,PdNeuRAM,63,3,0.7217,0.0031,0.721,0.0032,0.7177,0.0039,7.3749
haar_pure,SVAE,Crossbar-4b,12,3,0.2556,0.0031,0.2557,0.0014,0.2519,0.0009,0.0166
haar_pure,SVAE,Crossbar-8b,12,3,0.2552,0.0005,0.2555,0.0018,0.2514,0.0019,0.0627
haar_pure,SVAE,GPU,12,3,0.3592,0.0024,0.3592,0.0024,0.3592,0.0024,2.7895
haar_pure,SVAE,Loihi,12,3,0.2546,0.0016,0.2553,0.0009,0.2507,0.0026,0.0127
haar_pure,SVAE,PdNeuRAM,12,3,0.2552,0.0005,0.2555,0.0018,0.2514,0.0019,0.0403
haar_pure,SVAE,Crossbar-4b,24,3,0.3313,0.0014,0.3307,0.001,0.328,0.0024,0.0166
haar_pure,SVAE,Crossbar-8b,24,3,0.3336,0.0013,0.334,0.0013,0.3317,0.0025,0.0628
haar_pure,SVAE,GPU,24,3,0.6213,0.0018,0.6213,0.0018,0.6213,0.0018,2.9453
haar_pure,SVAE,Loihi,24,3,0.3354,0.0049,0.3351,0.0046,0.3324,0.0035,0.0128
haar_pure,SVAE,PdNeuRAM,24,3,0.3336,0.0013,0.334,0.0013,0.3317,0.0025,0.0404
haar_pure,SVAE,Crossbar-4b,48,3,0.3747,0.0053,0.3767,0.0049,0.3751,0.0068,0.0167
haar_pure,SVAE,Crossbar-8b,48,3,0.3885,0.0039,0.3869,0.005,0.382,0.0083,0.063
haar_pure,SVAE,GPU,48,3,0.8835,0.0074,0.8835,0.0074,0.8835,0.0074,3.2569
haar_pure,SVAE,Loihi,48,3,0.3812,0.0013,0.3815,0.0027,0.3781,0.008,0.0129
haar_pure,SVAE,PdNeuRAM,48,3,0.3885,0.0039,0.3869,0.005,0.382,0.0083,0.0406
haar_pure,SVAE,Crossbar-4b,63,3,0.4057,0.0053,0.4071,0.004,0.4093,0.0045,0.0167
haar_pure,SVAE,Crossbar-8b,63,3,0.4244,0.0171,0.4246,0.0195,0.426,0.0125,0.0631
haar_pure,SVAE,GPU,63,3,0.9877,0.0006,0.9877,0.0006,0.9877,0.0006,3.4517
haar_pure,SVAE,Loihi,63,3,0.4293,0.0041,0.4292,0.0069,0.4384,0.0123,0.013
haar_pure,SVAE,PdNeuRAM,63,3,0.4244,0.0171,0.4246,0.0195,0.426,0.0125,0.0407
