experiment,model,hw,N,method,F_best,E_inference_uJ,E_training_mJ,n_params,time_sec,T,C0,C1,depth,capacity_label,capacity_axis
capacity_sweep,SCNN-Norse,Loihi,5,M1,0.9991,0.8137,,1577472.0,26.0,,128.0,256.0,2.0,XXL,width
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M1,0.9993,1.3886,,1577472.0,32.5,,128.0,256.0,2.0,XXL,width
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M1,0.9996,0.3687,,1577472.0,32.5,,128.0,256.0,2.0,XXL,width
capacity_sweep,CNN,GPU,5,M1,0.9992,32.0124,,188032.0,1.9,,32.0,64.0,1.0,D1,depth
capacity_sweep,SCNN-Norse,Loihi,5,M1,0.9947,0.2062,,193152.0,19.2,,32.0,64.0,1.0,D1,depth
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M1,0.9961,0.1715,,193152.0,24.6,,32.0,64.0,1.0,D1,depth
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M1,0.9982,0.0456,,193152.0,24.6,,32.0,64.0,1.0,D1,depth
capacity_sweep,CNN,GPU,5,M1,0.9992,44.6082,,262016.0,2.5,,32.0,64.0,3.0,D3,depth
capacity_sweep,SCNN-Norse,Loihi,5,M1,0.9949,0.2742,,266880.0,33.5,,32.0,64.0,3.0,D3,depth
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M1,0.9996,0.5223,,266880.0,41.0,,32.0,64.0,3.0,D3,depth
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M1,0.9977,0.1383,,266880.0,41.0,,32.0,64.0,3.0,D3,depth
capacity_sweep,CNN,GPU,5,M1,0.9992,50.9061,,299008.0,2.9,,32.0,64.0,4.0,D4,depth
capacity_sweep,SCNN-Norse,Loihi,5,M1,0.9968,0.3082,,303744.0,40.1,,32.0,64.0,4.0,D4,depth
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M1,0.9982,0.6976,,303744.0,47.9,,32.0,64.0,4.0,D4,depth
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M1,0.9972,0.1846,,303744.0,47.8,,32.0,64.0,4.0,D4,depth
capacity_sweep,CNN,GPU,5,M2,0.9915,7.3003,,42880.0,2.9,,4.0,8.0,2.0,XS,width
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9776,0.0864,,45296.0,26.0,,4.0,8.0,2.0,XS,width
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9867,0.0434,,45296.0,32.2,,4.0,8.0,2.0,XS,width
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.9872,0.0115,,45296.0,32.0,,4.0,8.0,2.0,XS,width
capacity_sweep,CNN,GPU,5,M2,0.9923,14.8948,,87488.0,2.9,,8.0,16.0,2.0,S,width
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9855,0.1096,,90272.0,26.2,,8.0,16.0,2.0,S,width
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9922,0.0868,,90272.0,32.7,,8.0,16.0,2.0,S,width
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.9893,0.023,,90272.0,32.6,,8.0,16.0,2.0,S,width
capacity_sweep,CNN,GPU,5,M2,0.9939,30.9664,,181888.0,2.8,,16.0,32.0,2.0,M,width
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9854,0.1563,,185408.0,26.2,,16.0,32.0,2.0,M,width
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9963,0.1736,,185408.0,32.9,,16.0,32.0,2.0,M,width
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.998,0.0461,,185408.0,32.7,,16.0,32.0,2.0,M,width
capacity_sweep,CNN,GPU,5,M2,0.9947,66.6399,,391424.0,3.0,,32.0,64.0,2.0,L,width
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9925,0.251,,396416.0,26.9,,32.0,64.0,2.0,L,width
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9964,0.3472,,396416.0,33.2,,32.0,64.0,2.0,L,width
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.999,0.0922,,396416.0,33.0,,32.0,64.0,2.0,L,width
capacity_sweep,CNN,GPU,5,M2,0.9955,152.1082,,893440.0,2.9,,64.0,128.0,2.0,XL,width
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9967,0.4458,,901376.0,26.6,,64.0,128.0,2.0,XL,width
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9966,0.6945,,901376.0,33.1,,64.0,128.0,2.0,XL,width
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.9991,0.1845,,901376.0,33.1,,64.0,128.0,2.0,XL,width
capacity_sweep,CNN,GPU,5,M2,0.9953,379.5295,,2229248.0,2.9,,128.0,256.0,2.0,XXL,width
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9977,0.8568,,2243072.0,26.8,,128.0,256.0,2.0,XXL,width
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9964,1.3897,,2243072.0,33.2,,128.0,256.0,2.0,XXL,width
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.9997,0.3698,,2243072.0,33.2,,128.0,256.0,2.0,XXL,width
capacity_sweep,CNN,GPU,5,M2,0.9952,60.342,,354432.0,2.7,,32.0,64.0,1.0,D1,depth
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9899,0.217,,359552.0,20.0,,32.0,64.0,1.0,D1,depth
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9997,0.1718,,359552.0,25.5,,32.0,64.0,1.0,D1,depth
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.9986,0.0458,,359552.0,25.4,,32.0,64.0,1.0,D1,depth
capacity_sweep,CNN,GPU,5,M2,0.9952,72.9378,,428416.0,3.2,,32.0,64.0,3.0,D3,depth
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.9942,0.285,,433280.0,33.2,,32.0,64.0,3.0,D3,depth
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.999,0.5225,,433280.0,40.9,,32.0,64.0,3.0,D3,depth
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.9992,0.1385,,433280.0,40.7,,32.0,64.0,3.0,D3,depth
capacity_sweep,CNN,GPU,5,M2,0.9951,79.2357,,465408.0,3.4,,32.0,64.0,4.0,D4,depth
capacity_sweep,SCNN-Norse,Loihi,5,M2,0.992,0.319,,470144.0,39.9,,32.0,64.0,4.0,D4,depth
capacity_sweep,SCNN-Crossbar-8b,Crossbar-8b,5,M2,0.9993,0.6979,,470144.0,48.8,,32.0,64.0,4.0,D4,depth
capacity_sweep,SCNN-Crossbar-4b,Crossbar-4b,5,M2,0.9998,0.1849,,470144.0,49.7,,32.0,64.0,4.0,D4,depth
